Job title,Url,Company,Location,Summary,Date post,Date,Salary
Junior Operations Manager - Russia,https://ru.indeed.com/rc/clk?jk=f926e0b9a81e0e76&fccid=1c00ce6833fa8f3d&vjs=3,Revolut,Москва,"The team sits at the core of Revolut, working with departments across the business to help solve issues and create effective, scalable solutions.","8 дней
 назад",2020-12-13,
Junior Software Developer,https://ru.indeed.com/rc/clk?jk=2975c47c4ae11c4c&fccid=82059ea5c2a82405&vjs=3,IPONWEB,Москва,"Global leader of AdTech industry - IPONWEB - is looking for Junior Software Engineers to develop highload RTB systems, using our own platform, based on open…",Более 30 дн. назад,2020-12-13,
С++ junior developer,https://ru.indeed.com/rc/clk?jk=b73f740d152b679e&fccid=cc53036a157dcc6b&vjs=3,MegaLabs,Москва,"Немного знаешь python или go (как плюс).
Участие в проектировании сложных/высоконагруженных систем;
Участие в создании гибкого процесса деплоя;",Более 30 дн. назад,2020-12-13,
System developer/ С++ (middle/junior),https://ru.indeed.com/rc/clk?jk=7a2456f5d9ea03e4&fccid=891a255241a14b2b&vjs=3,GETMOBIT,Москва,"Компания «GETMOBIT» ищет хорошего специалиста на вакансию «System developer/ С++ (middle/junior)».
Требуемые навыки: #software, #middle, #C++, #Python, #Linux, …","9 дней
 назад",2020-12-13,170 000 руб. в месяц
"Junior Data Scientist, Capital Markets",https://ru.indeed.com/rc/clk?jk=8b46315ecb841e8c&fccid=c033f3f8ababecdf&vjs=3,Райффазен Банк,Москва,"Наша команда состоит из 2 DA , 1 DevOps и 4 DE, а также своего даталейка (в дополнение к общебанковскому).
В пайплайнах используем Spark, Python + ML стек под…","24 дня
 назад",2020-12-13,
Junior Data Scientist (CV),https://ru.indeed.com/rc/clk?jk=1b671303c9dd2a30&fccid=a508bac71d31bb4f&vjs=3,Спортмастер,Москва,В связи с расширением AI & ML команды в департамент анализа данных и машинного обучения требуется специалист на позицию Junior Data Scientist в CV проекты.,Более 30 дн. назад,2020-12-13,
Junior Data Analyst / Scientist (персонализация),https://ru.indeed.com/rc/clk?jk=50e8fddb5c9111b3&fccid=a508bac71d31bb4f&vjs=3,Спортмастер,Москва,"В связи с расширением команды Data Science проекта ""Персонализация"" ищем специалиста на позицию Junior Data Analyst/ Scientist.",Более 30 дн. назад,2020-12-13,
"ASSOCIATE DIRECTOR, DATA SCIENCE",https://ru.indeed.com/rc/clk?jk=94fa42bd717da0d2&fccid=b95f9eb47968fa13&vjs=3,Boston Consulting Group,Москва,"This individual will supervise junior consultants as engagements are executed, but must have the ability to “do the work” as well.
BCG is an E-Verify Employer.","18 дней
 назад",2020-12-13,
Директор/ Эксперт Управление перспективных алгоритмов машинного обучения (Big data),https://ru.indeed.com/rc/clk?jk=cf17ed65cf7af271&fccid=ebfbe6dd095ba4e3&vjs=3,ВТБ Капитал Брокер,Москва,"Основы стандартного стека: python + sklearn, pandas, numpy, scipy, matplotlib и т.д.;
Уверенное владение стандартным стеком python-библиотек (sklearn, pandas,…",Более 30 дн. назад,2020-12-13,
Junior Full-Stack Developer,https://ru.indeed.com/rc/clk?jk=0a720e7c4def44d2&fccid=fcc128f18b99c74b&vjs=3,AlignTech,Москва,"Join a team that is changing millions of lives.
At Align Technology, we believe a great smile can transform a person’s life, so we create technology that gives…",Более 30 дн. назад,2020-12-13,
Специалист по моделированию,https://ru.indeed.com/rc/clk?jk=b93391c4d4ff1d88&fccid=a9ade090842b73fb&vjs=3,СУЭК,Москва,"Моделирование производственных процессов в разрезе финансовых параметров.
Разработка алгоритмов оптимизации моделируемых процессов – линейная / нелинейная…","16 дней
 назад",2020-12-13,
Junior Analyst,https://ru.indeed.com/rc/clk?jk=6b01c83b0e949cf7&fccid=aa120553cf5a7368&vjs=3,Букмейт,Москва,"Букмейт — это приложение, в котором читают, слушают и обсуждают книги.
Толстые романы, детективы, научпоп и истории успеха на разных языках доступны по подписке…",Более 30 дн. назад,2020-12-13,
Системный программист ОС Linux,https://ru.indeed.com/rc/clk?jk=b43c9bb0581103b7&fccid=436e5188dfda1b09&vjs=3,КА «ЦИБИТ»,Москва,"Требуемые навыки: #software, #junior, #Linux, #Assembler, #Armarchitecture, #Bash, #Python, #C++, #C.
Компания «КА «ЦИБИТ»» ищет хорошего специалиста на…","9 дней
 назад",2020-12-13,150 000 руб. в месяц
Data Science Specialist,https://ru.indeed.com/rc/clk?jk=91bfa7ccb9961808&fccid=ebcbba75b1a5f856&vjs=3,JuicyScore,Москва,"Требуемые навыки: #frontend, #junior, #SQL, #Python, #Golang, #JavaScript, #PostgreSQL.
Компания «JuicyScore» ищет хорошего специалиста на вакансию «Data…",Более 30 дн. назад,2020-12-13,75 000 - 150 000 руб. в месяц
Junior/Middle/Senior Data Scientist,https://ru.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BVGwf_onMhBUvg40viUN3RpIAKLmVvyhh-H-Gy3fBQIc4fjDXgG63xmQQ6aroRLUXHoTpE_4p57P6UQw-YKBMpMDz8wYaZC4h1OBa4XnHtROS9nTMLfg8JFW7-f64FgKIDFh2WjBvsfKgMzfRexXrhrZ6eE3w9VyxjCPWAIpTQfdcehVg0_asbiunlmZHzuaVQJS11DmgWgupe98uAbZgtdD3IiE-MLLeQbJbb_NFwJ0VImGja2fjuT76lbdJ-7yLCqMKJvnKORkbwkor6Kc9TsrNw3_UsL6QzCi92ghYf7xYowekXz_LuvBkAF0y6WWFj_oWHjjV0c5NdmXzidEmWZAxJQ83clxNiBiNwMPNslH-YDOkjkCqXzg4y78JMTs9gDUUod4sykXa_xIeQBUK4P6UGDhQqByIttzhxdflB5lxCHpIp3mYlYWw3dV-CbBrXl_4dJwInbU9iRycEOsSx17YzfefURFJkXSpE4vXIcO37TCvqNpsD1um6tcjONYQLb7AUAbZugKA8znasoeBU6AGPhjRFKkxPdnn8XMfzunuGm2bmrowvpEhDayitxrga0Twwuz_sQLq_Afit358KEh4ZQ0Wtz1rjFQYRemvz3aEPQ7Kuz7JfUvc-FhDhfE4hDKqWLUp7x27Iu8XP118LUxQOmgoDrLdwUAW1Q8HUKIxtJj4hAQCb-89mQR8-2Qc=&p=14&fvj=0&vjs=3,Сбер,Москва,"Разработка методологии валидации для моделей всех типов, разрабатываемых и применяемых в сервисных Блоках ПАО Сбербанк и компаниях Экосистемы Сбербанка (в т.ч.…",Более 30 дн. назад,2020-12-13,
